"","X","kemudahan_navigasi","atraktif_desain","mudah_digunakan","fitur_berfungsi","antarmuka_jelas_dan_menarik","mudah_dipelajari","efisien","akses_standar","mudah_diingat","keamanan","bantuan_dan_dukungan","kepuasan_dan_kesan"
"1",1,15.625,7.11111111288889,7.11111111288889,27,6.25,18.9629629700741,2,4,3,9,4,27
"3",3,27,11.1111111088889,12.25,27,9,64,2.5,9,4,4,9,64
"4",4,64,16,11.1111111088889,15.625,12.25,64,2.5,9,3.333333333,9,12.25,64
"5",5,15.625,7.11111111288889,9,27,12.25,18.9629629700741,2.5,4,2.666666667,4,4,27
"14",14,42.875,7.11111111288889,13.4444444468889,27,9,49.2962963097407,2.5,9,3.666666667,4,6.25,27
"15",15,64,4,13.4444444468889,64,9,64,2,9,3.666666667,4,9,64
"16",16,15.625,7.11111111288889,14.6944444418889,42.875,9,27,3.5,16,3,16,16,27
"21",21,27,9,6.25,27,9,27,3,9,3.333333333,9,9,27
"23",23,27,7.11111111288889,6.25,27,6.25,18.9629629700741,1.5,4,2.666666667,4,6.25,27
"24",24,64,13.4444444468889,11.1111111088889,42.875,9,64,3.5,16,4,16,16,64
"25",25,27,9,12.25,27,4,12.7037036982593,3,9,3,9,9,8
"27",27,27,9,6.25,27,9,27,3,9,3,9,9,27
"29",29,27,11.1111111088889,10.0277777798889,42.875,9,27,3,9,3,9,9,64
"30",30,27,11.1111111088889,10.0277777798889,27,9,27,2.5,9,3,4,9,27
"31",31,42.875,7.11111111288889,10.0277777798889,64,16,37.0370370259259,3,16,4,9,16,27
"33",33,64,16,12.25,64,16,64,4,16,4,16,16,64
"34",34,27,9,12.25,27,9,27,3,9,3,9,6.25,27
"35",35,27,7.11111111288889,7.11111111288889,27,9,12.7037036982593,2,4,2.666666667,9,6.25,27
"37",37,27,5.44444444288889,10.0277777798889,64,9,18.9629629700741,2.5,9,2.666666667,9,16,8
"38",38,27,11.1111111088889,7.11111111288889,27,9,37.0370370259259,3,9,3,9,6.25,64
"41",41,64,16,13.4444444468889,64,16,64,3.5,16,3.666666667,9,9,64
"47",47,27,9,8.02777777588889,27,9,27,3,9,3,9,9,27
"48",48,1,1,4,1,1,1,1,1,1,1,1,1
"49",49,15.625,7.11111111288889,3.36111110988889,27,6.25,18.9629629700741,3,9,2.666666667,9,4,27
"50",50,27,13.4444444468889,8.02777777588889,64,16,49.2962963097407,3,16,3,9,9,27
"52",52,27,9,12.25,27,9,27,3,9,3,9,9,27
"53",53,15.625,4,8.02777777588889,15.625,1,12.7037036982593,1.5,4,2,4,9,8
"54",54,27,4,6.25,8,4,18.9629629700741,1.5,4,2.333333333,4,4,27
"55",55,27,11.1111111088889,7.11111111288889,42.875,9,27,2,9,3,9,9,27
"56",56,27,7.11111111288889,9,15.625,9,27,2.5,9,3,9,9,27
"57",57,42.875,13.4444444468889,10.0277777798889,15.625,9,49.2962963097407,3.5,9,3,16,12.25,64
"59",59,42.875,13.4444444468889,9,42.875,16,37.0370370259259,2.5,9,3.333333333,16,16,64
"60",60,64,16,10.0277777798889,64,12.25,64,3.5,16,4,16,16,64
"61",61,27,7.11111111288889,11.1111111088889,27,9,27,3,9,3,9,9,27
"62",62,8,7.11111111288889,7.11111111288889,27,6.25,27,1.5,4,2.333333333,4,6.25,8
